ENT_DT_MOVTO;ENT_NR_LOTE;ENT_NR_INST;ENT_NR_AGEN;ENT_NR_CTRTER;ENT_NR_PL;ENT_DT_PL;ENT_ST_PL;ENT_DT_LBNDES;ENT_VL_SOLIC;ENT_VL_LIBER;ENT_ID_TIPIOF;ENT_VL_IOF;ENT_ID_CONCES;ENT_VL_CONCES;ENT_ID_OUTVLR;ENT_VL_OUTVLR;ENT_NR_BANCO;ENT_NR_AGENC;ENT_NR_CONTA
20260215;1;1414;19;1042121;1;20240815;5;20240815;9696.62;10006.48;F;309.86;F;0;F;0;;;
20260215;1;1414;19;1042141;1;20240819;5;20240819;21151.51;21821.3;F;669.79;F;0;F;0;;;
20260215;1;1414;19;1042156;1;20240816;5;20240816;4538.07;4673.57;F;135.5;F;0;F;0;;;
20260215;1;1414;19;1042157;1;20240820;5;20240820;7076.19;7300.14;F;223.95;F;0;F;0;;;
20260215;1;1414;19;1042164;1;20240819;5;20240819;5701.23;5881.79;F;180.56;F;0;F;0;;;
20260215;1;1414;19;1042166;1;20240816;5;20240816;12201.65;12588.84;F;387.19;F;0;F;0;;;
20260215;1;1414;19;1042171;1;20240815;5;20240815;8000;8254.14;F;254.14;F;0;F;0;;;
20260215;1;1414;19;1042172;1;20240816;5;20240816;1587.65;1637.37;F;49.72;F;0;F;0;;;
20260215;1;1414;19;1042174;1;20240816;5;20240816;1031.53;1063.83;F;32.3;F;0;F;0;;;
20260215;1;1414;19;1042191;1;20240816;5;20240816;839.89;866.71;F;26.82;F;0;F;0;;;
20260215;1;1414;19;1042223;1;20240816;5;20240816;7233.17;7462.7;F;229.53;F;0;F;0;;;
20260215;1;1414;19;1042235;1;20240816;5;20240816;5019.59;5172.3;F;152.71;F;0;F;0;;;
20260215;1;1414;19;1042236;1;20240816;5;20240816;13991.13;14435.45;F;444.32;F;0;F;0;;;
20260215;1;1414;19;1042237;1;20240816;5;20240816;7305.81;7495.46;F;189.65;F;0;F;0;;;
20260215;1;1414;19;1042241;1;20240906;5;20240906;5402.15;5402.15;F;0;F;0;F;0;;;
20260215;1;1414;19;1042279;1;20240816;5;20240816;1290.69;1331.66;F;40.97;F;0;F;0;;;
20260215;1;1414;19;1042317;1;20240820;5;20240820;12819.7;12839.77;F;20.07;F;0;F;0;;;
20260215;1;1414;19;1042331;1;20240816;5;20240816;5390.94;5551.03;F;160.09;F;0;F;0;;;
20260215;1;1414;19;1042334;1;20240816;5;20240816;1741.23;1795.76;F;54.53;F;0;F;0;;;
20260215;1;1414;19;1042339;1;20240819;5;20240819;2000;2063.34;F;63.34;F;0;F;0;;;
20260215;1;1414;19;1042343;1;20240819;5;20240819;1255.18;1294.84;F;39.66;F;0;F;0;;;
20260215;1;1414;19;1042344;1;20240820;5;20240820;6042.98;6060.22;F;17.24;F;0;F;0;;;
20260215;1;1414;19;1042345;1;20240819;5;20240819;4141.65;4153.46;F;11.81;F;0;F;0;;;
20260215;1;1414;19;1042351;1;20240819;5;20240819;1698.65;1751.54;F;52.89;F;0;F;0;;;
20260215;1;1414;19;1042417;1;20240822;5;20240822;2000;2063.66;F;63.66;F;0;F;0;;;
